ticker,predicted_rank,watchlist_signal,score_date
ZTS,0.688088314235525,BUY,2026-06-01
META,0.6864307125596131,BUY,2026-06-01
MSFT,0.6773273354519452,BUY,2026-06-01
CRM,0.6623736553238625,BUY,2026-06-01
ADP,0.6318078817025711,BUY,2026-06-01
ORCL,0.6182390499294967,BUY,2026-06-01
INTU,0.5801216979618912,BUY,2026-06-01
ROP,0.5792097285974332,BUY,2026-06-01
ACN,0.574617228572264,BUY,2026-06-01
CME,0.5724609511171689,BUY,2026-06-01
REGN,0.5658135210878914,BUY,2026-06-01
LOW,0.5630095040346967,BUY,2026-06-01
RTX,0.5625749900454944,BUY,2026-06-01
SHW,0.555058827084097,BUY,2026-06-01
MCD,0.5515944340154436,BUY,2026-06-01
AON,0.5498819584329773,BUY,2026-06-01
HD,0.5493809546910693,BUY,2026-06-01
APD,0.5465337293615087,BUY,2026-06-01
ISRG,0.5449193715741888,BUY,2026-06-01
HCA,0.5398585385397051,BUY,2026-06-01
TXN,0.5392566912448222,HOLD,2026-06-01
LMT,0.5383101052576097,HOLD,2026-06-01
NKE,0.5322466785315251,HOLD,2026-06-01
MO,0.5296458890394627,HOLD,2026-06-01
FIS,0.5292322528046283,HOLD,2026-06-01
ABT,0.5285793441796062,HOLD,2026-06-01
ECL,0.5267071826404636,HOLD,2026-06-01
BDX,0.5231236075758127,HOLD,2026-06-01
MDT,0.5215222891577773,HOLD,2026-06-01
NOW,0.5186382625802253,HOLD,2026-06-01
SYK,0.5184671332126608,HOLD,2026-06-01
WMT,0.5152767478226364,HOLD,2026-06-01
VZ,0.5143888664188115,HOLD,2026-06-01
SO,0.5132355549165962,HOLD,2026-06-01
INTC,0.513012253608146,HOLD,2026-06-01
ITW,0.5129749809476105,HOLD,2026-06-01
BLK,0.5123822717388269,HOLD,2026-06-01
DE,0.5115960889265437,HOLD,2026-06-01
LIN,0.510847954026988,HOLD,2026-06-01
ETN,0.5101354409779543,HOLD,2026-06-01
AMGN,0.5096373783869305,HOLD,2026-06-01
FDX,0.5089818411990452,HOLD,2026-06-01
ADBE,0.5085612256281994,HOLD,2026-06-01
GILD,0.50749333476005,HOLD,2026-06-01
AMZN,0.5071850319407686,HOLD,2026-06-01
JNJ,0.5069142217376165,HOLD,2026-06-01
DHR,0.5065180959526905,HOLD,2026-06-01
TMO,0.5042296456858315,HOLD,2026-06-01
PM,0.5040178470879336,HOLD,2026-06-01
BKNG,0.502339218379614,HOLD,2026-06-01
KO,0.5012908958508967,HOLD,2026-06-01
USB,0.4994034516583257,HOLD,2026-06-01
AXP,0.49823026468472953,HOLD,2026-06-01
BAC,0.4973966326825551,HOLD,2026-06-01
NSC,0.4968131141314141,HOLD,2026-06-01
BA,0.49672250567674503,HOLD,2026-06-01
UPS,0.49625144126002957,HOLD,2026-06-01
CI,0.4946156180534163,HOLD,2026-06-01
MA,0.4940159246750896,HOLD,2026-06-01
SLB,0.49276756730894516,HOLD,2026-06-01
PFE,0.49118676003720263,HOLD,2026-06-01
DUK,0.4909206082811434,HOLD,2026-06-01
DIS,0.4898936837912399,HOLD,2026-06-01
CSX,0.4898127219470888,HOLD,2026-06-01
MRK,0.4889988001298651,HOLD,2026-06-01
PNC,0.48881811888885285,HOLD,2026-06-01
BRK-B,0.48872522823365405,HOLD,2026-06-01
HON,0.48868633877940565,HOLD,2026-06-01
PG,0.48753052425377075,HOLD,2026-06-01
TJX,0.4872972406547658,HOLD,2026-06-01
CL,0.48666543836166576,HOLD,2026-06-01
NFLX,0.48274003421612915,HOLD,2026-06-01
SCHW,0.4826114851456282,HOLD,2026-06-01
PLD,0.4821557670833506,HOLD,2026-06-01
TGT,0.48148328178303823,HOLD,2026-06-01
EQIX,0.4802169348949671,HOLD,2026-06-01
CB,0.47799836578184945,HOLD,2026-06-01
JPM,0.47736734202822967,HOLD,2026-06-01
MRSH,0.47196207981919647,HOLD,2026-06-01
CSCO,0.47100242299074646,HOLD,2026-06-01
PEP,0.4677176677647114,AVOID,2026-06-01
GS,0.467201260280737,AVOID,2026-06-01
NEE,0.46522112225537987,AVOID,2026-06-01
NVDA,0.46430970744091526,AVOID,2026-06-01
SPGI,0.460362533769903,AVOID,2026-06-01
XOM,0.4537455113654202,AVOID,2026-06-01
IBM,0.4519880363644416,AVOID,2026-06-01
COST,0.45075303405438005,AVOID,2026-06-01
CAT,0.4503001577810605,AVOID,2026-06-01
GE,0.44823992075255453,AVOID,2026-06-01
GOOGL,0.44670534211091556,AVOID,2026-06-01
V,0.4399709802789907,AVOID,2026-06-01
WM,0.43689818922879736,AVOID,2026-06-01
QCOM,0.43644866554879624,AVOID,2026-06-01
LLY,0.42266416104213844,AVOID,2026-06-01
ICE,0.4110140143762516,AVOID,2026-06-01
CMCSA,0.4072659096522985,AVOID,2026-06-01
CVX,0.3987328339486864,AVOID,2026-06-01
UNH,0.3938627395171281,AVOID,2026-06-01
AAPL,0.31935435488058883,AVOID,2026-06-01
